shortestPath;Ford-Bellman;Prim;Kruskal
4162;23541;4219;203805
4245;24754;3491;191810
4681;24511;3667;230612
4445;24028;4805;205478
4159;24632;3563;192027
4292;24713;3619;188712
4803;28241;3619;200989
4019;24553;4886;196926
4178;23133;3650;188327
4071;23117;3608;193086
4264;23045;3523;190116
4396;25225;3742;227102
4526;25958;4010;215831
4437;29344;3746;254995
4294;23773;4006;194311
4396;23699;3439;192758
4099;27400;3472;190866
3873;23484;3616;192869
4223;23713;3493;198023
4171;24215;3545;194699
4261;23611;3669;193780
3971;23768;3629;195098
4268;30342;3456;191214
4163;23788;4041;203207
4188;23368;4480;195589
4251;23571;3541;190391
4131;23481;3687;197128
4182;23979;3571;196179
4208;26562;3812;195106
4219;23590;3549;192304
4279;28523;3707;192501
4257;23514;3554;193811
4236;24135;3523;190853
4304;23262;3445;192153
4232;23509;3661;195223
5215;26602;3807;203402
4103;23736;3793;193244
4245;23443;3490;193163
4103;23971;3707;193925
4103;23849;3892;218180
3948;23587;3440;197838
4198;23326;3639;195727
4116;23864;3483;192477
4227;23459;4770;195085
4032;24174;3696;195798
4050;24273;3624;215470
4102;23938;3713;195387
3996;22879;3614;192738
3994;23012;3431;186270
3914;23553;3340;185890
4215;27185;3581;189820
5013;27403;3892;230624
4204;24882;3683;195760
4468;26565;3578;475234
4374;25164;3801;399437
4267;30342;3602;221694
4258;24940;3604;197839
7042;26590;3656;225478
4546;27716;3861;224699
4565;26380;4560;236653
4330;24935;3708;200822
4204;26490;3671;203916
6981;23355;3693;197687
4262;25270;3533;200124
4368;23086;5213;194274
3861;26047;3378;198026
4340;25512;4074;195573
4112;23298;3499;197275
4204;24478;3482;196485
3933;24649;3557;195033
4055;24053;3622;202942
3883;24204;3484;194272
4621;30471;6072;354678
4788;28722;3687;372562
5280;33366;5226;237191
8590;36949;3543;220738
6530;25327;4083;231929
4366;28983;3891;222997
4772;30846;3825;302363
4457;29752;3766;223915
4467;26748;5847;217508
4395;27966;3910;227787
4467;81641;4600;730380
4819;26701;3667;223599
4400;26423;4085;257821
4495;29828;4393;355899
4454;50469;4859;239299
3933;24723;3603;199218
4731;29995;3839;214637
4034;23591;3327;224805
3895;22760;3829;207038
4031;22719;3506;186080
4297;25185;3384;187712
4186;23731;3409;189488
3998;22884;3816;205772
4052;22936;3444;186793
4187;23197;3356;188083
4132;22945;3518;184663
4064;23239;3588;188892
4079;22825;4423;188093
