shortestPath;Ford-Bellman;Prim;Kruskal
3105;20131;2670;88188
3332;20418;2777;101565
3342;22413;3293;105618
4766;20461;2758;89155
3225;19757;2493;86404
3453;20543;2636;84491
3401;20035;2570;89770
3247;19858;2694;83841
3414;20480;2479;89881
3060;19800;2686;85605
3964;21067;2541;94167
4310;24966;3499;113761
3491;22501;3098;106371
3518;23353;3252;131099
3342;20681;2652;85885
3331;20002;2756;97506
3307;25611;2738;91212
3499;21319;2832;87604
3116;20159;2525;94413
3301;20149;2732;85543
3350;23022;2863;86168
3073;20210;2793;89157
3108;20085;2778;86359
3310;20104;2552;89030
3185;20104;2764;86552
3223;22778;2663;86642
3565;21123;2613;87136
3318;20302;2709;85714
3328;20580;2650;90017
3224;20114;2684;86941
3365;20361;2448;87078
3294;20198;2732;87028
3217;20155;2896;85313
3336;20499;2591;85999
3151;20357;2585;86685
3366;20492;2567;86133
3381;20388;2546;88072
3328;20275;2616;87990
3357;20294;2609;87687
3390;20533;2644;89259
3325;20244;2667;89488
3280;20210;2716;87408
3364;21070;2752;86041
3248;20240;2666;86230
3253;20968;2608;86809
3499;23644;2791;85884
4658;24248;2680;88880
3199;19974;2474;84877
3463;19837;2484;87886
3271;19362;2940;88236
3056;19846;2586;83681
4049;22232;2667;126391
3352;21762;7718;90479
4779;29244;2694;99939
20172;36542;3242;117769
4361;27327;2652;97936
3421;24214;2759;91443
3373;28262;2667;95011
3601;23185;2593;191083
5407;22715;2822;102679
3366;29319;2880;102569
3526;24358;2471;88423
3267;21628;2706;90116
3338;25124;2724;108676
3839;20311;2639;90147
3498;20012;2599;89750
3330;28593;2656;90558
3741;21482;2560;86253
3222;19819;2757;86450
3276;20139;2439;89612
3517;20151;2471;96314
3327;20724;2682;89586
3399;22171;2800;104939
3626;64440;3086;97804
4129;23520;3065;93661
4030;21929;2733;98511
4005;31280;2733;180086
5356;22055;2736;104784
3036;20634;2945;89388
3422;25001;2791;100344
3663;21712;2720;107803
3380;33976;3261;107580
3342;21619;2844;102844
4018;23597;2814;99433
3335;23309;2787;100215
5721;24082;2747;105121
3280;21738;2989;96484
3049;19882;2652;86675
3382;25053;3016;106629
3248;20063;2704;84263
3296;19637;2619;84515
3304;19362;2747;84213
3105;19426;2688;87444
3395;19888;2769;83305
3179;20315;2670;83275
3211;19625;2458;86050
3266;19587;2614;84224
3250;19340;2624;83770
3204;19384;2407;83993
3100;19656;2522;85228
