shortestPath;Ford-Bellman;Prim;Kruskal
5614;32890;4759;365122
4818;26059;4651;355563
4926;27867;4519;358135
5890;38215;5336;353711
4822;27589;4650;343875
4723;27814;4676;330914
4717;26802;4728;343734
4688;26375;4688;331118
4507;28365;4657;330523
5490;26883;4608;342646
5959;26417;4478;359785
6227;36429;4962;413139
4933;31981;5410;381075
5563;31336;5289;388560
4882;26483;4671;334150
4809;26586;4922;339779
4842;27009;4712;346334
4811;27019;4684;333835
4674;26854;4781;334257
4784;26686;4557;348138
4636;26803;4775;332787
4618;26710;4703;331615
4727;27000;4663;338540
4847;26743;5327;336832
4761;27602;4715;339975
4637;26601;4829;332388
4627;26704;4617;334949
4740;27118;4823;335945
4728;26777;4737;338782
4715;27171;4717;337667
4683;26533;4801;335935
4783;27962;4807;341799
4623;31161;4836;339409
4517;27487;6726;366003
4710;27303;4913;332658
4578;26783;4675;335493
4763;30253;4677;345860
4770;29429;4916;395007
4741;26470;4665;341293
4776;26721;6141;351850
4641;27296;4609;346916
4705;26565;4781;338980
5173;27004;4927;337637
4730;26944;4729;333339
4960;26830;4712;338610
4845;29010;5016;335677
4803;27226;4743;325967
4578;27548;4420;322480
4624;25873;4430;373606
4792;28210;5065;326394
4910;28561;5106;578041
5319;30757;6151;420655
5819;35535;5846;633170
5252;28117;4951;591482
4724;29091;11158;418171
4962;28896;5263;396111
7308;98312;5052;700093
5226;30193;5124;407030
5287;29616;8155;404085
4935;32236;4950;388241
4742;28038;6370;372799
4806;28870;6288;383924
4835;39714;4588;342142
4624;27800;6258;344661
4759;26384;4521;337772
4766;28160;4791;338952
4627;26731;4771;346428
4635;28925;5747;352744
5955;26721;4764;347753
4589;26201;4561;345458
4645;26727;4674;343460
4534;27056;5655;349570
6436;40006;12965;460164
4941;29205;5159;541708
4983;36031;4834;626140
4907;31047;5311;426495
4923;32338;4689;413457
4689;27250;4500;346841
4853;40937;5255;561916
4908;43723;5156;391359
5031;28209;4868;395238
4939;31850;6606;412951
4925;31887;5648;392022
5297;38805;4873;400632
4881;36150;5929;390075
5201;33179;5127;388231
7529;31119;4616;346920
6902;27768;4565;341527
4534;27150;6020;336246
4714;28306;4578;347724
4881;25880;4852;323368
4567;26045;4557;322963
4556;29022;4496;327487
4775;26215;4408;326841
4830;32441;4440;325497
4716;26039;4748;327919
4457;25862;4440;325866
4556;26027;4606;325395
4592;25889;4707;324481
4600;25824;4469;324049
