shortestPath;Ford-Bellman;Prim;Kruskal
3092;46225;3469;85342
2811;45999;4241;88937
3626;48460;3990;93526
2909;44221;3505;113166
3632;43723;3238;86012
2996;45277;3753;91594
2869;43739;3292;92694
2869;46402;3568;85568
3384;43723;3502;85782
3123;44017;3469;85015
3277;44479;3615;86706
3124;54058;6109;146482
3662;49886;4005;106996
4217;53271;4178;109576
3242;44481;3847;89225
3038;44549;3662;89818
5001;48160;3843;86082
3016;46723;3736;86225
2906;44542;3358;85722
3088;44092;3541;86125
3697;46753;3535;93050
3012;44477;3975;94839
2922;44916;3331;88795
3089;44430;3595;86312
2955;44255;3605;86718
2851;43658;3750;86595
3094;43708;3308;86250
2865;44361;3452;87608
3001;44374;3601;86285
3081;43647;3707;109981
2985;46437;3280;99734
3028;44059;3629;88500
2872;43931;3596;86030
3012;44583;3551;89813
2761;44510;3563;86223
2893;43928;3504;87131
2970;44003;3296;89373
3038;45762;3875;86553
2858;46391;3555;87676
2986;44777;3449;88093
3173;43666;3714;86074
3170;44174;3658;89077
2832;44046;3457;85749
2772;44230;3773;86190
2943;44208;3590;86090
4795;50142;3887;90619
3829;47163;3311;89867
2803;43979;3613;85936
2740;44867;3487;84567
2940;44374;3341;84115
2778;43145;5210;94071
3579;50618;3903;102461
2829;44781;3808;88275
4000;136992;6246;99609
4124;49220;4107;102188
4533;49118;3871;110236
4331;46619;4684;87410
3601;50499;3784;108082
3019;50574;7332;109392
3400;52155;4272;101759
3595;52156;5101;121164
3075;44222;3530;92606
2911;44057;3781;88196
2984;46793;3715;101691
3124;44263;3479;87949
2944;47377;3533;89601
3271;45261;3623;88698
2697;46555;3413;87870
2734;48912;3491;88630
2940;44616;3379;92457
2829;46431;3267;92288
2716;45557;3419;90627
3562;49720;3738;211566
90811;114899;3723;97348
3788;190158;5484;99397
3202;53959;4332;99407
4870;49715;4319;105418
3351;50297;4242;105183
3149;46344;3798;307112
5068;49856;4060;103073
3432;49177;3751;101217
62702;48412;9526;98958
4056;50173;4282;96222
3787;51231;4321;130454
3749;45712;3590;99231
3718;53113;4454;108283
3432;49951;3694;100755
3260;45184;3578;87175
3585;59092;4499;98414
3106;42923;3543;83872
2786;42990;3327;83600
3092;42984;3447;86035
2975;43195;3917;92301
2800;45627;3418;84515
3297;43726;3451;85427
2709;43125;3471;84667
2811;43428;3527;85263
2901;43635;3578;85039
2961;42935;3315;83448
2832;43461;3242;92036
