shortestPath;Ford-Bellman;Prim;Kruskal
7521;109215;5898;343104
5785;93216;6187;356697
6993;99514;5985;414458
6616;116043;5387;333827
6048;97009;7354;349969
5718;97022;5522;360442
5544;95351;6325;409674
5585;95304;5199;330063
5820;96684;6770;329999
5355;93644;6033;357880
5634;92520;6227;345069
6968;125042;8164;496378
6995;129987;6509;391911
9171;130551;7169;371391
6274;97264;6082;334718
6328;98120;5665;337305
6052;96788;5991;345006
5423;95360;5559;337913
5885;95270;5459;346495
5796;94556;5600;336476
5477;93512;5701;342341
5819;96976;5865;339585
5789;93850;7249;336243
6411;96092;5755;334211
8040;94886;5397;381166
6355;97773;5332;332492
5957;97326;5414;331642
5569;97493;5586;334041
5721;93615;5807;335866
5383;97162;5686;352171
5721;94247;5833;341196
6436;97195;5510;337501
6001;95234;5681;335832
5965;101569;5786;337904
5518;95580;5735;335927
6192;96514;5193;339927
5813;99354;5323;336217
5458;96488;6214;349371
6011;95753;5609;338416
5855;97143;6012;355381
5812;94676;5190;336027
5707;95364;5826;338624
6317;97077;5813;338898
6219;95102;5868;341468
7148;96257;5096;368481
6799;104494;5787;419615
6250;96295;5354;333061
5601;111362;5285;332428
5942;93698;5904;336110
6335;114332;5834;323318
8473;123153;9505;496182
10435;201696;6633;376536
7227;128965;7551;546175
10437;124666;6688;491137
9068;176083;8157;418711
6687;123364;6229;384437
6833;124539;6378;674398
6591;132945;6837;400449
6461;121165;6394;532201
6711;128469;10498;393442
5912;95994;5689;404296
6463;110010;5840;363632
7408;99035;5449;363185
5415;94370;5179;339019
5301;97381;5631;337325
7331;98014;5522;343536
11682;99703;5631;337174
5720;100990;5749;339731
5421;99404;5560;343910
5770;98512;5659;344526
6046;99150;5403;339522
5678;97264;5538;340834
6825;116354;6357;393878
6325;116430;6469;415730
7870;143685;7510;423564
6850;205837;6129;574121
6888;122153;8456;400089
5654;101412;5723;342522
7117;123408;8834;429344
57396;257651;7865;579162
7772;120731;7021;402892
6727;121873;6124;475743
8271;120501;6554;495008
7126;125629;7827;389392
6593;122405;9852;469208
10006;133854;6422;396436
7437;112676;5661;346664
5630;98479;5576;352616
5877;99649;5836;340482
6579;106262;7057;436590
6467;91143;5513;328464
5634;93569;5326;325079
5528;91353;5358;326085
5339;92264;6176;327611
6489;97011;5487;325586
5437;90722;5791;325605
5483;92267;5410;324584
5659;92929;5700;325877
5702;92905;5519;324996
5455;94222;5243;324188
